,0
474,3.0517578e-05
475,0.0
476,3.0517578e-05
477,0.0
478,0.0
479,3.0517578e-05
480,0.0
481,0.0
482,3.0517578e-05
483,0.0
484,0.0
485,0.0
486,3.0517578e-05
487,-3.0517578e-05
488,-3.0517578e-05
489,3.0517578e-05
490,0.0
491,0.0
492,0.0
493,-3.0517578e-05
494,0.0
495,0.0
496,3.0517578e-05
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,-3.0517578e-05
504,0.0
505,0.0
506,0.0
507,-3.0517578e-05
508,0.0
509,0.0
510,3.0517578e-05
511,3.0517578e-05
512,-3.0517578e-05
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,-3.0517578e-05
523,3.0517578e-05
524,0.0
525,0.0
526,3.0517578e-05
527,0.0
528,0.0
529,0.0
530,0.0
531,3.0517578e-05
532,-3.0517578e-05
533,0.0
534,0.0
535,0.0
536,0.0
537,-3.0517578e-05
538,3.0517578e-05
539,0.0
540,0.0
541,-3.0517578e-05
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,-3.0517578e-05
548,0.0
549,-3.0517578e-05
550,3.0517578e-05
551,0.0
552,0.0
553,3.0517578e-05
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,-3.0517578e-05
563,0.0
564,0.0
565,0.0
566,3.0517578e-05
567,0.0
568,3.0517578e-05
569,0.0
570,0.0
571,0.0
572,0.0
573,-3.0517578e-05
574,0.0
575,0.0
576,3.0517578e-05
577,3.0517578e-05
578,0.0
579,0.0
580,0.0
581,-3.0517578e-05
582,-3.0517578e-05
583,0.0
584,0.0
585,0.0
586,-3.0517578e-05
587,0.0
588,0.0
589,3.0517578e-05
590,0.0
591,3.0517578e-05
592,0.0
593,0.0
594,3.0517578e-05
595,0.0
596,0.0
597,3.0517578e-05
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,-3.0517578e-05
610,3.0517578e-05
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,-3.0517578e-05
622,0.0
623,-3.0517578e-05
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,-3.0517578e-05
630,0.0
631,0.0
632,0.0
633,3.0517578e-05
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,-3.0517578e-05
644,3.0517578e-05
645,3.0517578e-05
646,-3.0517578e-05
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,-3.0517578e-05
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,-3.0517578e-05
670,0.0
671,0.0
672,0.0
673,0.0
674,-3.0517578e-05
675,0.0
676,-3.0517578e-05
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,-3.0517578e-05
683,0.0
684,0.0
685,-3.0517578e-05
686,0.0
687,0.0
688,0.0
689,3.0517578e-05
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,3.0517578e-05
697,0.0
698,0.0
699,0.0
700,0.0
